127.0.0.1, 2018-01-28 23:02:12, GET, /, HTTP/1.1, 303, 0.004208
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.882313
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001173
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002413
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002723
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000737
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001580
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000521
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004099
127.0.0.1, 2018-01-28 23:02:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000483
127.0.0.1, 2018-01-28 23:02:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000531
127.0.0.1, 2018-01-28 23:02:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000473
127.0.0.1, 2018-01-28 23:02:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000917
127.0.0.1, 2018-01-28 23:02:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000466
127.0.0.1, 2018-01-28 23:02:31, GET, /main, HTTP/1.1, 200, 0.135204
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000575
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000483
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000464
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/js/jquery.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/css/calendar.css, HTTP/1.1, 200, 0.000428
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/js/calendar.js, HTTP/1.1, 200, 0.000488
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/js/web2py.js, HTTP/1.1, 200, 0.001406
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000475
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000478
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/js/share.js, HTTP/1.1, 200, 0.000475
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/images/favicon.ico, HTTP/1.1, 200, 0.000510
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/images/twitter.png, HTTP/1.1, 200, 0.000650
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/images/facebook.png, HTTP/1.1, 200, 0.001041
127.0.0.1, 2018-01-28 23:02:31, GET, /main/static/images/gplus-32.png, HTTP/1.1, 200, 0.000813
127.0.0.1, 2018-01-28 23:02:40, GET, /main/default/user/register, HTTP/1.1, 200, 0.043863
127.0.0.1, 2018-01-28 23:02:43, GET, /main, HTTP/1.1, 200, 0.046906
127.0.0.1, 2018-01-28 23:02:44, GET, /main/static/images/twitter.png, HTTP/1.1, 304, 0.000628
127.0.0.1, 2018-01-28 23:02:44, GET, /main/static/images/gplus-32.png, HTTP/1.1, 304, 0.001098
127.0.0.1, 2018-01-28 23:02:44, GET, /main/static/images/facebook.png, HTTP/1.1, 304, 0.000393
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/default/index, HTTP/1.1, 200, 0.215752
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.000464
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000483
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001788
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.002657
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001070
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000487
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000934
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000747
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001614
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000502
127.0.0.1, 2018-01-28 23:02:46, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.003224
127.0.0.1, 2018-01-28 23:02:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000477
127.0.0.1, 2018-01-28 23:02:49, POST, /admin/default/index, HTTP/1.1, 303, 0.030105
127.0.0.1, 2018-01-28 23:02:50, GET, /admin/default/site, HTTP/1.1, 200, 0.047613
127.0.0.1, 2018-01-28 23:02:50, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000541
127.0.0.1, 2018-01-28 23:02:50, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.000599
127.0.0.1, 2018-01-28 23:02:50, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000360
127.0.0.1, 2018-01-28 23:02:51, POST, /admin/default/check_version, HTTP/1.1, 200, 0.998463
127.0.0.1, 2018-01-28 23:02:56, POST, /admin/default/site, HTTP/1.1, 303, 0.096379
127.0.0.1, 2018-01-28 23:02:57, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.227590
127.0.0.1, 2018-01-28 23:02:57, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.001511
127.0.0.1, 2018-01-28 23:02:57, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.000340
127.0.0.1, 2018-01-28 23:02:57, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.000656
127.0.0.1, 2018-01-28 23:02:57, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001190
127.0.0.1, 2018-01-28 23:02:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2018-01-28 23:03:09, GET, /admin/default/site, HTTP/1.1, 200, 0.028064
127.0.0.1, 2018-01-28 23:03:16, GET, /main, HTTP/1.1, 200, 0.026104
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002533
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000405
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/js/jquery.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/css/calendar.css, HTTP/1.1, 304, 0.000461
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/js/calendar.js, HTTP/1.1, 304, 0.000743
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001467
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/js/web2py.js, HTTP/1.1, 304, 0.001073
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/js/share.js, HTTP/1.1, 304, 0.000486
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.012912
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/images/twitter.png, HTTP/1.1, 304, 0.001157
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/images/facebook.png, HTTP/1.1, 304, 0.000803
127.0.0.1, 2018-01-28 23:03:16, GET, /main/static/images/gplus-32.png, HTTP/1.1, 304, 0.000516
127.0.0.1, 2018-01-28 23:03:23, GET, /hello, HTTP/1.1, 200, 0.102809
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000500
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/js/jquery.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/js/calendar.js, HTTP/1.1, 200, 0.000608
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000510
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/css/calendar.css, HTTP/1.1, 200, 0.000508
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/js/web2py.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000367
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/js/share.js, HTTP/1.1, 200, 0.000363
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/images/twitter.png, HTTP/1.1, 200, 0.001180
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/images/facebook.png, HTTP/1.1, 200, 0.000992
127.0.0.1, 2018-01-28 23:03:23, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 200, 0.000806
127.0.0.1, 2018-01-28 23:03:28, GET, /hello/default/user/register, HTTP/1.1, 200, 0.046904
127.0.0.1, 2018-01-28 23:03:36, POST, /hello/default/user/register, HTTP/1.1, 200, 0.047961
127.0.0.1, 2018-01-28 23:03:52, POST, /hello/default/user/register, HTTP/1.1, 200, 0.034913
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000451
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001372
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/css/calendar.css, HTTP/1.1, 304, 0.001166
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001213
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/js/jquery.js, HTTP/1.1, 304, 0.001127
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/js/calendar.js, HTTP/1.1, 304, 0.000386
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/js/share.js, HTTP/1.1, 304, 0.001466
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000444
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002060
127.0.0.1, 2018-01-28 23:03:52, GET, /hello/static/js/web2py.js, HTTP/1.1, 304, 0.001401
127.0.0.1, 2018-01-28 23:03:53, GET, /hello/static/images/twitter.png, HTTP/1.1, 304, 0.000422
127.0.0.1, 2018-01-28 23:03:53, GET, /hello/static/images/facebook.png, HTTP/1.1, 304, 0.000393
127.0.0.1, 2018-01-28 23:03:53, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 304, 0.000366
127.0.0.1, 2018-01-28 23:04:01, POST, /hello/default/user/register, HTTP/1.1, 303, 0.061758
127.0.0.1, 2018-01-28 23:04:01, GET, /hello/default/index, HTTP/1.1, 200, 0.033881
127.0.0.1, 2018-01-28 23:04:07, GET, /hello/default/user/logout, HTTP/1.1, 303, 0.037764
127.0.0.1, 2018-01-28 23:04:07, GET, /hello/default/index, HTTP/1.1, 200, 0.020452
127.0.0.1, 2018-01-28 23:04:09, GET, /hello/default/user/login, HTTP/1.1, 200, 0.031047
127.0.0.1, 2018-01-28 23:04:16, POST, /hello/default/user/login, HTTP/1.1, 303, 0.038050
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/default/user/login, HTTP/1.1, 200, 0.025074
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000462
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000446
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/css/calendar.css, HTTP/1.1, 304, 0.000442
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000405
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/js/jquery.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/js/calendar.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/js/web2py.js, HTTP/1.1, 304, 0.000517
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001008
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001793
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/js/share.js, HTTP/1.1, 304, 0.000837
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 304, 0.000617
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/images/twitter.png, HTTP/1.1, 304, 0.001119
127.0.0.1, 2018-01-28 23:04:16, GET, /hello/static/images/facebook.png, HTTP/1.1, 304, 0.000523
127.0.0.1, 2018-01-28 23:04:25, POST, /hello/default/user/login, HTTP/1.1, 303, 0.031158
127.0.0.1, 2018-01-28 23:04:25, GET, /hello/default/index, HTTP/1.1, 200, 0.024007
127.0.0.1, 2018-01-28 23:04:56, GET, /examples/default/index, HTTP/1.1, 200, 0.012169
127.0.0.1, 2018-01-28 23:04:56, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000661
127.0.0.1, 2018-01-28 23:04:56, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000565
127.0.0.1, 2018-01-28 23:04:56, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000459
127.0.0.1, 2018-01-28 23:04:56, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000533
127.0.0.1, 2018-01-28 23:04:56, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001238
127.0.0.1, 2018-01-28 23:04:56, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000542
